language,layer,head,direction,correct,total,accuracy
russian,7,4,leftward,1346,1374674,0.0009791412363949561
russian,7,5,nsubj_to_root,69231,1374674,0.050361758496923634
russian,7,5,leftward,120345,1374674,0.08754439234320283
russian,7,6,nsubj_to_root,14929,1374674,0.010860029359688187
russian,7,6,leftward,265031,1374674,0.19279552824887938
russian,7,7,nsubj_to_root,106617,1374674,0.07755802466621177
russian,7,7,leftward,14762,1374674,0.010738546011636213
russian,7,8,nsubj_to_root,58854,1374674,0.04281305967814915
russian,7,8,leftward,186420,1374674,0.13561033379550352
russian,7,9,nsubj_to_root,20995,1374674,0.015272711930246735
russian,7,9,leftward,23192,1374674,0.01687090903006822
russian,7,10,nsubj_to_root,397521,1374674,0.2891747425207722
russian,7,10,leftward,29731,1374674,0.021627673179241042
russian,7,11,nsubj_to_root,144148,1374674,0.10485977038919773
russian,7,11,leftward,426,1374674,0.00030989165431222237
russian,8,0,nsubj_to_root,5607,1374674,0.004078785224715096
russian,8,0,leftward,3850,1374674,0.0028006640119766575
russian,8,1,nsubj_to_root,40421,1374674,0.029404062344963244
russian,8,1,leftward,126630,1374674,0.09211638541210498
russian,8,2,nsubj_to_root,30631,1374674,0.022282373857365454
russian,8,2,leftward,366673,1374674,0.266734513055459
russian,8,3,nsubj_to_root,141189,1374674,0.10270726004856424
russian,8,3,leftward,68795,1374674,0.050044592390632255
russian,8,4,nsubj_to_root,342823,1374674,0.249384945085162
russian,8,4,leftward,287227,1374674,0.20894190186182324
russian,8,5,nsubj_to_root,174,1374674,0.0001265754644373866
russian,8,5,leftward,199,1374674,0.00014476159438528698
russian,8,6,nsubj_to_root,32923,1374674,0.02394967825098896
russian,8,6,leftward,68350,1374674,0.049720879277559624
russian,8,7,nsubj_to_root,857,1374674,0.0006234205346140249
russian,8,7,leftward,3459,1374674,0.002516232939591496
russian,8,8,nsubj_to_root,4822,1374674,0.0035077407443510245
russian,8,8,leftward,17817,1374674,0.01296089109126964
russian,8,9,nsubj_to_root,57528,1374674,0.04184846734571251
russian,8,9,leftward,66706,1374674,0.0485249593721857
russian,8,10,nsubj_to_root,21643,1374674,0.015744096418496313
russian,8,10,leftward,8265,1374674,0.006012334560775864
russian,8,11,nsubj_to_root,13365,1374674,0.009722305070147541
russian,8,11,leftward,10899,1374674,0.007928425212086648
russian,9,0,nsubj_to_root,4619,1374674,0.003360069369174073
russian,9,0,leftward,2456,1374674,0.0017866054060817328
russian,9,1,nsubj_to_root,116,1374674,8.438364295825774e-05
russian,9,1,leftward,145,1374674,0.00010547955369782217
russian,9,2,nsubj_to_root,5650,1374674,0.004110065368225484
russian,9,2,leftward,4119,1374674,0.002996346770216066
russian,9,3,nsubj_to_root,5168,1374674,0.0037594367828299655
russian,9,3,leftward,46319,1374674,0.0336945341222719
russian,9,4,nsubj_to_root,19795,1374674,0.014399777692747516
russian,9,4,leftward,12349,1374674,0.00898322074906487
russian,9,5,nsubj_to_root,801,1374674,0.000582683603530728
russian,9,5,leftward,1282,1374674,0.0009325847437283312
russian,9,6,nsubj_to_root,669,1374674,0.00048666083740581405
russian,9,6,leftward,4365,1374674,0.0031752982889034055
russian,9,7,nsubj_to_root,12321,1374674,0.00896285228352322
russian,9,7,leftward,20116,1374674,0.014633287601278558
russian,9,8,nsubj_to_root,23245,1374674,0.01690946362555777
russian,9,8,leftward,1560,1374674,0.0011348145087489833
russian,9,9,nsubj_to_root,8221,1374674,0.0059803269720675595
russian,9,9,leftward,50,1374674,3.637225989580075e-05
russian,9,10,nsubj_to_root,14388,1374674,0.010466481507615625
russian,9,10,leftward,38770,1374674,0.0282030503232039
russian,9,11,nsubj_to_root,738,1374674,0.000536854556062019
russian,9,11,leftward,1265,1374674,0.000920218175363759
russian,10,0,nsubj_to_root,34061,1374674,0.024777510886217387
russian,10,0,leftward,578,1374674,0.00042046332439545667
russian,10,1,nsubj_to_root,2240,1374674,0.0016294772433318736
russian,10,1,leftward,3307,1374674,0.0024056612695082615
russian,10,2,nsubj_to_root,13733,1374674,0.009990004902980633
russian,10,2,leftward,8839,1374674,0.006429888104379657
russian,10,3,nsubj_to_root,4696,1374674,0.0034160826494136066
russian,10,3,leftward,17920,1374674,0.013035817946654989
russian,10,4,nsubj_to_root,1268,1374674,0.000922400510957507
russian,10,4,leftward,1652,1374674,0.0012017394669572568
russian,10,5,nsubj_to_root,1877,1374674,0.0013654146364883602
russian,10,5,leftward,1552,1374674,0.0011289949471656553
russian,10,6,nsubj_to_root,1896,1374674,0.0013792360952487644
russian,10,6,leftward,2488,1374674,0.0018098836524150454
russian,10,7,nsubj_to_root,6237,1374674,0.004537075699402185
russian,10,7,leftward,29780,1374674,0.021663317993938926
russian,10,8,nsubj_to_root,646,1374674,0.0004699295978537457
russian,10,8,leftward,2475,1374674,0.001800426864842137
russian,10,9,nsubj_to_root,6766,1374674,0.004921894209099757
russian,10,9,leftward,22406,1374674,0.016299137104506232
russian,10,10,nsubj_to_root,3232,1374674,0.0023511028796645603
russian,10,10,leftward,3807,1374674,0.002769383868466269
russian,10,11,nsubj_to_root,5104,1374674,0.0037128802901633404
russian,10,11,leftward,5284,1374674,0.0038438204257882232
russian,11,0,nsubj_to_root,3456,1374674,0.002514050603997748
russian,11,0,leftward,2506,1374674,0.0018229776659775337
russian,11,1,nsubj_to_root,1015,1374674,0.0007383568758847553
russian,11,1,leftward,787,1374674,0.0005724993707599038
russian,11,2,nsubj_to_root,894,1374674,0.0006503360069369175
russian,11,2,leftward,2908,1374674,0.0021154106355397717
russian,11,3,nsubj_to_root,16736,1374674,0.012174522832322426
russian,11,3,leftward,5627,1374674,0.004093334128673416
russian,11,4,nsubj_to_root,3377,1374674,0.0024565824333623826
russian,11,4,leftward,4402,1374674,0.003202213761226298
russian,11,5,nsubj_to_root,233,1374674,0.0001694947311144315
russian,11,5,leftward,696,1374674,0.0005063018577495464
russian,11,6,nsubj_to_root,656,1374674,0.0004772040498329058
russian,11,6,leftward,948,1374674,0.0006896180476243822
russian,11,7,nsubj_to_root,821,1374674,0.0005972325074890483
russian,11,7,leftward,3740,1374674,0.002720645040205896
russian,11,8,nsubj_to_root,643,1374674,0.00046774726225999765
russian,11,8,leftward,587,1374674,0.00042701033117670083
russian,11,9,nsubj_to_root,2328,1374674,0.001693492420748483
russian,11,9,leftward,2390,1374674,0.001738594023019276
russian,11,10,nsubj_to_root,2394,1374674,0.0017415038038109398
russian,11,10,leftward,1078,1374674,0.0007841859233534642
russian,11,11,nsubj_to_root,2070,1374674,0.001505811559686151
russian,11,11,leftward,669,1374674,0.00048666083740581405
