language,layer,head,direction,correct,total,accuracy
english,6,8,leftward,22,1679481,1.3099284838590017e-05
english,6,9,nsubj_to_root,22640,1679481,0.013480354942985363
english,6,9,leftward,125253,1679481,0.07457839654035979
english,6,10,nsubj_to_root,1542,1679481,0.0009181407827775366
english,6,10,leftward,156847,1679481,0.09339016041265129
english,6,11,nsubj_to_root,9136,1679481,0.0054397757402435635
english,6,11,leftward,530580,1679481,0.31591902498450414
english,7,0,nsubj_to_root,9482,1679481,0.005645791765432297
english,7,0,leftward,57310,1679481,0.034123637004526995
english,7,1,nsubj_to_root,374769,1679481,0.22314572180334283
english,7,1,leftward,394,1679481,0.00023459628301838485
english,7,2,nsubj_to_root,420443,1679481,0.25034102797233193
english,7,2,leftward,569,1679481,0.00033879513968898724
english,7,3,nsubj_to_root,16616,1679481,0.009893532585364169
english,7,3,leftward,1510,1679481,0.0008990872775577693
english,7,4,nsubj_to_root,16533,1679481,0.009844112556200397
english,7,4,leftward,520834,1679481,0.31011604180100877
english,7,5,nsubj_to_root,165761,1679481,0.09869775246043272
english,7,5,leftward,51131,1679481,0.03044452423099755
english,7,6,nsubj_to_root,83029,1679481,0.04943729640287684
english,7,6,leftward,295,1679481,0.00017564950124472978
english,7,7,nsubj_to_root,1340,1679481,0.0007978655310777556
english,7,7,leftward,773,1679481,0.0004602612354650038
english,7,8,nsubj_to_root,543786,1679481,0.3237821684198869
english,7,8,leftward,1141,1679481,0.0006793765454923277
english,7,9,nsubj_to_root,12776,1679481,0.007607111958992094
english,7,9,leftward,59138,1679481,0.0352120684902062
english,7,10,nsubj_to_root,174770,1679481,0.10406190960183533
english,7,10,leftward,57095,1679481,0.03399562126633168
english,7,11,nsubj_to_root,115,1679481,6.847353438353873e-05
english,7,11,leftward,87477,1679481,0.052085733628424495
english,8,0,nsubj_to_root,2774,1679481,0.0016517007337385776
english,8,0,leftward,60,1679481,3.572532228706368e-05
english,8,1,nsubj_to_root,31,1679481,1.845808318164957e-05
english,8,1,leftward,207,1679481,0.0001232523618903697
english,8,2,nsubj_to_root,19893,1679481,0.011844730604275964
english,8,2,leftward,271,1679481,0.0001613593723299043
english,8,3,nsubj_to_root,2713,1679481,0.0016153799894133962
english,8,3,leftward,26899,1679481,0.016016257403328765
english,8,4,nsubj_to_root,434,1679481,0.000258413164543094
english,8,4,leftward,11889,1679481,0.007078972611181669
english,8,5,nsubj_to_root,14084,1679481,0.008385923984850082
english,8,5,leftward,6997,1679481,0.004166168000709743
english,8,6,nsubj_to_root,96,1679481,5.7160515659301895e-05
